CMDLINE /home/alfredo/.cache/pypoetry/virtualenvs/db-sicredi-BphEo1On-py3.11/bin/python script/worst_performance/question2.py
MEM 23.832031 1713396050.4490
MEM 23.832031 1713396050.5491
MEM 23.832031 1713396050.6493
MEM 23.832031 1713396050.7494
MEM 23.832031 1713396050.8496
MEM 23.832031 1713396050.9498
MEM 23.832031 1713396051.0499
MEM 23.832031 1713396051.1501
MEM 23.832031 1713396051.2502
MEM 23.832031 1713396051.3503
MEM 23.832031 1713396051.4506
MEM 23.832031 1713396051.5508
MEM 23.832031 1713396051.6509
MEM 23.832031 1713396051.7511
MEM 23.832031 1713396051.8512
MEM 23.832031 1713396051.9514
MEM 23.832031 1713396052.0515
MEM 23.832031 1713396052.1516
MEM 23.832031 1713396052.2517
MEM 23.832031 1713396052.3519
MEM 23.832031 1713396052.4521
MEM 23.832031 1713396052.5522
MEM 23.832031 1713396052.6524
MEM 23.832031 1713396052.7525
MEM 23.832031 1713396052.8526
MEM 23.832031 1713396052.9528
MEM 23.832031 1713396053.0530
MEM 23.832031 1713396053.1531
MEM 23.832031 1713396053.2532
MEM 23.832031 1713396053.3534
MEM 23.832031 1713396053.4535
MEM 23.832031 1713396053.5538
MEM 23.832031 1713396053.6539
MEM 23.832031 1713396053.7541
MEM 23.832031 1713396053.8542
MEM 23.832031 1713396053.9543
MEM 23.832031 1713396054.0545
MEM 23.832031 1713396054.1546
MEM 23.832031 1713396054.2548
MEM 23.832031 1713396054.3549
MEM 23.832031 1713396054.4550
MEM 23.832031 1713396054.5552
MEM 23.832031 1713396054.6554
MEM 23.832031 1713396054.7555
MEM 23.832031 1713396054.8557
MEM 23.832031 1713396054.9558
MEM 23.832031 1713396055.0560
MEM 23.832031 1713396055.1561
MEM 23.832031 1713396055.2563
MEM 23.832031 1713396055.3564
MEM 23.832031 1713396055.4565
MEM 23.832031 1713396055.5567
MEM 23.832031 1713396055.6570
MEM 23.832031 1713396055.7572
MEM 23.832031 1713396055.8574
MEM 23.832031 1713396055.9575
MEM 23.832031 1713396056.0576
MEM 23.832031 1713396056.1577
MEM 23.832031 1713396056.2579
MEM 23.832031 1713396056.3580
MEM 23.832031 1713396056.4581
MEM 23.832031 1713396056.5582
MEM 23.832031 1713396056.6584
MEM 23.832031 1713396056.7586
MEM 23.832031 1713396056.8587
MEM 23.832031 1713396056.9588
MEM 23.832031 1713396057.0590
MEM 23.832031 1713396057.1592
MEM 23.832031 1713396057.2593
MEM 23.832031 1713396057.3594
MEM 23.832031 1713396057.4596
MEM 23.832031 1713396057.5597
MEM 23.832031 1713396057.6598
MEM 23.832031 1713396057.7600
MEM 23.832031 1713396057.8602
MEM 23.832031 1713396057.9604
MEM 23.832031 1713396058.0605
MEM 23.832031 1713396058.1606
MEM 23.832031 1713396058.2608
MEM 23.832031 1713396058.3609
MEM 23.832031 1713396058.4610
MEM 23.832031 1713396058.5612
MEM 23.832031 1713396058.6613
MEM 23.832031 1713396058.7615
MEM 23.832031 1713396058.8616
MEM 23.832031 1713396058.9618
MEM 23.832031 1713396059.0620
MEM 23.832031 1713396059.1621
MEM 23.832031 1713396059.2622
MEM 23.832031 1713396059.3623
MEM 23.832031 1713396059.4625
MEM 23.832031 1713396059.5626
MEM 23.832031 1713396059.6627
MEM 23.832031 1713396059.7628
MEM 23.832031 1713396059.8631
MEM 23.832031 1713396059.9632
MEM 23.832031 1713396060.0634
MEM 23.832031 1713396060.1636
MEM 23.832031 1713396060.2638
MEM 23.832031 1713396060.3639
MEM 23.832031 1713396060.4640
MEM 23.832031 1713396060.5642
MEM 23.832031 1713396060.6644
MEM 23.832031 1713396060.7645
MEM 23.832031 1713396060.8647
MEM 23.832031 1713396060.9649
MEM 23.832031 1713396061.0651
MEM 23.832031 1713396061.1653
MEM 23.832031 1713396061.2654
MEM 23.832031 1713396061.3656
MEM 23.832031 1713396061.4658
MEM 23.832031 1713396061.5659
MEM 23.832031 1713396061.6661
MEM 23.832031 1713396061.7663
MEM 23.832031 1713396061.8664
MEM 23.832031 1713396061.9667
MEM 23.832031 1713396062.0668
MEM 23.832031 1713396062.1670
MEM 23.832031 1713396062.2671
MEM 23.832031 1713396062.3672
MEM 23.832031 1713396062.4674
MEM 23.832031 1713396062.5675
MEM 23.832031 1713396062.6677
MEM 23.832031 1713396062.7678
MEM 23.832031 1713396062.8679
MEM 23.832031 1713396062.9681
MEM 23.832031 1713396063.0683
MEM 23.832031 1713396063.1685
MEM 23.832031 1713396063.2686
MEM 23.832031 1713396063.3687
MEM 23.832031 1713396063.4689
MEM 23.832031 1713396063.5690
MEM 23.832031 1713396063.6692
MEM 23.832031 1713396063.7693
MEM 23.832031 1713396063.8694
MEM 23.832031 1713396063.9696
MEM 23.832031 1713396064.0698
MEM 23.832031 1713396064.1700
MEM 23.832031 1713396064.2701
MEM 23.832031 1713396064.3703
MEM 23.832031 1713396064.4704
MEM 23.832031 1713396064.5705
MEM 23.832031 1713396064.6707
MEM 23.832031 1713396064.7708
MEM 23.832031 1713396064.8709
MEM 23.832031 1713396064.9710
MEM 23.832031 1713396065.0712
MEM 23.832031 1713396065.1714
MEM 23.832031 1713396065.2715
MEM 23.832031 1713396065.3716
MEM 23.832031 1713396065.4717
MEM 23.832031 1713396065.5719
MEM 23.832031 1713396065.6720
MEM 23.832031 1713396065.7722
MEM 23.832031 1713396065.8724
MEM 23.832031 1713396065.9725
MEM 23.832031 1713396066.0727
MEM 23.832031 1713396066.1729
MEM 23.832031 1713396066.2731
MEM 23.832031 1713396066.3732
MEM 23.832031 1713396066.4733
MEM 23.832031 1713396066.5735
MEM 23.832031 1713396066.6737
MEM 23.832031 1713396066.7738
MEM 23.832031 1713396066.8740
MEM 23.832031 1713396066.9741
MEM 23.832031 1713396067.0742
MEM 23.832031 1713396067.1744
MEM 23.832031 1713396067.2745
MEM 23.832031 1713396067.3746
